|name|printed|r|g|b|w|u
5584|Elvish Pathcutter|2002-10-07|0|1|0|0|0
5585|Elvish Pioneer|2002-10-07|0|1|0|0|0
5586|Elvish Piper|1999-06-07|0|1|0|0|0
5587|Elvish Promenade|2007-10-12|0|1|0|0|0
5588|Elvish Ranger|1996-06-10|0|1|0|0|0
5589|Elvish Reclaimer|2019-07-12|0|1|0|0|0
5590|Elvish Rejuvenator|2018-07-13|0|1|0|0|0
5591|Elvish Scout|1994-11-01|0|1|0|0|0
5592|Elvish Scrapper|2002-10-07|0|1|0|0|0
5593|Elvish Skysweeper|2005-10-07|0|1|0|0|0
5594|Elvish Spirit Guide|1996-06-10|0|1|0|0|0
5595|Elvish Vanguard|2002-10-07|0|1|0|0|0
5596|Elvish Visionary|2008-10-03|0|1|0|0|0
5597|Elvish Warmaster|2021-02-05|0|1|0|0|0
5598|Elvish Warrior|2002-10-07|0|1|0|0|0
5599|Emancipation Angel|2012-04-28|0|0|0|1|0
5600|Embalmer's Tools|2017-04-28|0|0|0|0|0
5601|Embargo|1999-10-04|0|0|0|0|1
5602|Ember Beast|2001-10-01|1|0|0|0|0
5603|Ember Gale|2008-05-02|1|0|0|0|0
5604|Ember Hauler|2010-07-15|1|0|0|0|0
5605|Ember Shot|2002-05-27|1|0|0|0|0
5606|Ember Swallower|2013-09-21|1|0|0|0|0
5607|Ember Weaver|2009-02-06|0|1|0|0|0
5608|Ember-Fist Zubera|2004-10-01|1|0|0|0|0
5609|Embercleave|2019-10-04|1|0|0|0|0
5610|Embereth Paladin|2019-10-04|1|0|0|0|0
5611|Embereth Shieldbreaker|2019-10-04|1|0|0|0|0
5612|Battle Display|2019-10-04|1|0|0|0|0
5613|Embereth Skyblazer|2019-10-04|1|0|0|0|0
5614|Emberhorn Minotaur|2017-04-28|1|0|0|0|0
5615|Embermage Goblin|2002-10-07|1|0|0|0|0
5616|Embermaw Hellion|2015-07-17|1|0|0|0|0
5617|Embersmith|2010-09-30|1|0|0|0|0
5618|Emberstrike Duo|2008-05-02|1|0|1|0|0
5619|Emberwilde Augur|2007-05-04|1|0|0|0|0
5620|Emberwilde Caliph|1996-10-08|1|0|0|0|1
5621|Emberwilde Captain|2020-11-20|1|0|0|0|0
5622|Emberwilde Djinn|1996-10-08|1|0|0|0|0
5623|Emblazoned Golem|2001-06-04|0|0|0|0|0
5624|Emblem of the Warmind|2007-05-04|1|0|0|0|0
5625|Embodiment of Agonies|2019-07-12|0|0|1|0|0
5626|Embodiment of Fury|2016-01-22|1|0|0|0|0
5627|Embodiment of Insight|2016-01-22|0|1|0|0|0
5628|Embodiment of Spring|2014-09-26|0|0|0|0|1
5629|Embolden|2001-10-01|0|0|0|1|0
5630|Embraal Bruiser|2016-09-30|0|0|1|0|0
5631|Embraal Gear-Smasher|2017-01-20|1|0|0|0|0
5632|Emerald Charm|1997-02-03|0|1|0|0|0
5633|Emerald Dragonfly|1994-06-01|0|1|0|0|0
5634|Emerald Medallion|1997-10-14|0|0|0|0|0
5635|Emerald Oryx|2009-07-16|0|1|0|0|0
5636|Emerge Unscathed|2010-04-23|0|0|0|1|0
5637|Emergence Zone|2019-05-03|0|0|0|0|0
5638|Emergency Powers|2019-01-25|0|0|0|1|1
5639|Emergent Growth|2017-09-29|0|1|0|0|0
5640|Emergent Sequence|2021-04-23|0|1|0|0|0
5641|Emergent Ultimatum|2020-04-24|0|1|1|0|1
5642|Emeria Angel|2009-10-02|0|0|0|1|0
5643|Emeria Captain|2020-09-25|0|0|0|1|0
5644|Emeria Shepherd|2015-10-02|0|0|0|1|0
5645|Emeria's Call|2020-09-25|0|0|0|1|0
5646|Emeria, Shattered Skyclave|2020-09-25|0|0|0|0|0
5647|Emeria, the Sky Ruin|2009-10-02|0|0|0|0|0
5648|Emiel the Blessed|2020-06-18|0|0|0|1|0
5649|Emissary of Despair|2004-02-06|0|0|1|0|0
5650|Emissary of Grudges|2016-11-16|1|0|0|0|0
5651|Emissary of Hope|2004-02-06|0|0|0|1|0
5652|Emissary of Sunrise|2017-09-29|0|0|0|1|0
5653|Emissary's Ploy|2016-08-26|0|0|0|0|0
5654|Emmara Tandris|2013-04-27|0|1|0|1|0
5655|Emmara, Soul of the Accord|2018-11-09|0|1|0|1|0
5656|Emmessi Tome|1997-10-14|0|0|0|0|0
5657|Emperor Crocodile|1999-06-07|0|1|0|0|0
5658|Emperor's Vanguard|2017-09-29|0|1|0|0|0
5659|Empowered Autogenerator|2019-08-23|0|0|0|0|0
5660|Empress Galina|2000-10-02|0|0|0|0|1
5661|Empty City Ruse|1999-07-06|0|0|0|1|0
5662|Empty the Catacombs|2005-10-07|0|0|1|0|0
5663|Empty the Laboratory|2021-09-24|0|0|0|0|1
5664|Empty the Pits|2014-09-26|0|0|1|0|0
5665|Empty the Warrens|2006-10-06|1|0|0|0|0
5666|Empty-Shrine Kannushi|2005-02-04|0|0|0|1|0
5667|Empyreal Voyager|2016-09-30|0|1|0|0|1
5668|Empyrean Eagle|2019-07-12|0|0|0|1|1
5669|Empyrial Archangel|2008-10-03|0|1|0|1|1
5670|Empyrial Armor|1997-06-09|0|0|0|1|0
5671|Empyrial Plate|2003-10-02|0|0|0|0|0
5672|Empyrial Storm|2016-11-16|0|0|0|1|0
5673|Emrakul's Evangel|2016-07-22|0|1|0|0|0
5674|Emrakul's Hatcher|2010-04-23|1|0|0|0|0
5675|Emrakul's Influence|2016-07-22|0|1|0|0|0
5676|Emrakul, the Aeons Torn|2010-04-23|0|0|0|0|0
5677|Emrakul, the Promised End|2016-07-22|0|0|0|0|0
5678|Emry, Lurker of the Loch|2019-10-04|0|0|0|0|1
5679|Enatu Golem|2010-04-23|0|0|0|0|0
5680|Encampment Keeper|2017-09-29|0|0|0|1|0
5681|Encase in Ice|2015-03-27|0|0|0|0|1
5682|Enchanted Being|1994-06-01|0|0|0|1|0
5683|Enchanted Carriage|2019-10-04|0|0|0|0|0
5684|Enchanted Evening|2008-05-02|0|0|0|1|1
5685|Enchanter's Bane|2016-11-16|1|0|0|0|0
5686|Enchantment Alteration|1994-06-01|0|0|0|0|1
5687|Enchantress's Presence|2002-10-07|0|1|0|0|0
5688|Encircling Fissure|2015-10-02|0|0|0|1|0
5689|Enclave Cryptologist|2010-04-23|0|0|0|0|1
5690|Enclave Elite|2010-02-05|0|0|0|0|1
5691|Encroach|1999-06-07|0|0|1|0|0
5692|Encroaching Wastes|2013-07-19|0|0|0|0|0
5693|Encrust|2012-07-12|0|0|0|0|1
5694|End Hostilities|2014-09-26|0|0|0|1|0
5695|End the Festivities|2021-11-19|1|0|0|0|0
5696|End-Raze Forerunners|2019-01-25|0|1|0|0|0
5697|Endangered Armodon|1998-03-02|0|1|0|0|0
5698|Endbringer|2016-01-22|0|0|0|0|0
5699|Endbringer's Revel|2000-06-05|0|0|1|0|0
5700|Endemic Plague|2002-10-07|0|0|1|0|0
5701|Endless Atlas|2016-11-16|0|0|0|0|0
5702|Endless Cockroaches|2013-11-01|0|0|1|0|0
5703|Endless Horizons|2008-07-25|0|0|0|1|0
5704|Endless Obedience|2014-07-12|0|0|1|0|0
5705|Endless One|2015-10-02|0|0|0|0|0
5706|Endless Ranks of the Dead|2011-09-24|0|0|1|0|0
5707|Endless Sands|2017-07-14|0|0|0|0|0
5708|Endless Scream|1997-10-14|0|0|1|0|0
5709|Endless Swarm|2005-06-03|0|1|0|0|0
5710|Endless Wurm|1998-10-12|0|1|0|0|0
5711|Endling|2019-06-05|0|0|1|0|0
5712|Endoskeleton|1998-10-12|0|0|0|0|0
5713|Endrek Sahr, Master Breeder|2006-10-06|0|0|1|0|0
5714|Endure|2008-07-25|0|0|0|1|0
5715|Enduring Angel|2022-01-28|0|0|0|1|0
5716|Angelic Enforcer|2022-01-28|0|0|0|1|0
5717|Enduring Ideal|2005-06-03|0|0|0|1|0
5718|Enduring Renewal|1995-06-03|0|0|0|1|0
5719|Enduring Scalelord|2015-03-27|0|1|0|1|0
5720|Enduring Sliver|2019-06-05|0|0|0|1|0
5721|Enduring Victory|2015-03-27|0|0|0|1|0
5722|Enemy of Enlightenment|2020-01-24|0|0|1|0|0
5723|Enemy of the Guildpact|2006-05-05|0|0|1|0|0
5724|Energizer|1997-10-14|0|0|0|0|0
5725|Energy Arc|1996-06-10|0|0|0|1|1
5726|Energy Bolt|1996-10-08|1|0|0|1|0
5727|Energy Chamber|2010-09-03|0|0|0|0|0
5728|Energy Field|1998-10-12|0|0|0|0|1
5729|Energy Flux|1994-03-04|0|0|0|0|1
5730|Energy Storm|1995-06-03|0|0|0|1|0
5731|Energy Tap|1994-06-01|0|0|0|0|1
5732|Energy Vortex|1996-10-08|0|0|0|0|1
5733|Enervate|1995-06-03|0|0|0|0|1
5734|Enfeeblement|1996-10-08|0|0|1|0|0
5735|Enforcer Griffin|2019-05-03|0|0|0|1|0
5736|Engineered Explosives|2013-06-07|0|0|0|0|0
5737|Engineered Might|2016-09-30|0|1|0|1|0
5738|Engineered Plague|1999-02-15|0|0|1|0|0
5739|Engulf the Shore|2017-10-24|0|0|0|0|1
5740|Engulfing Eruption|2019-07-12|1|0|0|0|0
5741|Engulfing Flames|2001-10-01|1|0|0|0|0
5742|Engulfing Slagwurm|2010-09-30|0|1|0|0|0
5743|Enhanced Awareness|2015-01-17|0|0|0|0|1
5744|Enhanced Surveillance|2018-11-09|0|0|0|0|1
5745|Enigma Drake|2017-04-28|1|0|0|0|1
5746|Enigma Eidolon|2006-05-05|0|0|0|0|1
5747|Enigma Sphinx|2009-04-30|0|0|1|1|1
5748|Enigmatic Incarnation|2020-01-24|0|1|0|0|1
5749|Enlarge|2013-07-19|0|1|0|0|0
5750|Enlightened Ascetic|2015-07-17|0|0|0|1|0
5751|Enlightened Maniac|2016-07-22|0|0|0|0|1
5752|Enlightened Tutor|1996-10-08|0|0|0|1|0
5753|Enlisted Wurm|2009-04-30|0|1|0|1|0
5754|Enlistment Officer|2001-06-04|0|0|0|1|0
5755|Enormous Baloth|2003-07-28|0|1|0|0|0
5756|Enrage|2003-05-26|1|0|0|0|0
5757|Enraged Ceratok|2019-01-25|0|1|0|0|0
5758|Enraged Giant|2017-01-20|1|0|0|0|0
5759|Enraged Revolutionary|2014-06-06|1|0|0|0|0
5760|Enraging Licid|1997-10-14|1|0|0|0|0
5761|Enshrined Memories|2005-02-04|0|1|0|0|0
5762|Enshrouding Mist|2015-07-17|0|0|0|1|0
5763|Enslave|2007-02-02|0|0|1|0|0
5764|Enslaved Dwarf|2002-02-04|1|0|0|0|0
5765|Enslaved Horror|1999-10-04|0|0|1|0|0
5766|Enslaved Scout|1996-06-10|1|0|0|0|0
5767|Ensnare|2000-02-14|0|0|0|0|1
5768|Ensnaring Bridge|1998-03-02|0|0|0|0|0
5769|Ensoul Artifact|2014-07-12|0|0|0|0|1
5770|Entangler|2000-06-05|0|0|0|1|0
5771|Entangling Trap|2007-10-12|0|0|0|1|0
5772|Entangling Vines|2009-07-16|0|1|0|0|0
5773|Enter the God-Eternals|2019-05-03|0|0|1|0|1
5774|Enter the Infinite|2013-01-26|0|0|0|0|1
5775|Enter the Unknown|2018-01-19|0|1|0|0|0
5776|Enthralling Hold|2020-07-03|0|0|0|0|1
5777|Enthralling Victor|2015-07-17|1|0|0|0|0
5778|Enthusiastic Study|2021-04-23|1|0|0|0|0
5779|Entomb|2001-10-01|0|0|1|0|0
5780|Entomber Exarch|2011-05-12|0|0|1|0|0
5781|Entourage of Trest|2016-08-26|0|1|0|0|0
5782|Entrails Feaster|2002-10-07|0|0|1|0|0
5783|Entrancing Lyre|2020-01-24|0|0|0|0|0
5784|Entrancing Melody|2017-09-29|0|0|0|0|1
5785|Entrapment Maneuver|2016-11-11|0|0|0|1|0
5786|Entreat the Angels|2012-04-28|0|0|0|1|0
5787|Entreat the Dead|2016-11-16|0|0|1|0|0
5788|Entropic Eidolon|2006-05-05|0|0|1|0|0
5789|Entropic Specter|1998-06-15|0|0|1|0|0
5790|Envelop|2002-05-27|0|0|0|0|1
5791|Environmental Sciences|2021-04-23|0|0|0|0|0
5792|Eon Frolicker|2020-04-17|0|0|0|0|1
5793|Ephara's Enlightenment|2014-02-01|0|0|0|1|1
5794|Ephara's Radiance|2014-02-01|0|0|0|1|0
5795|Ephara's Warden|2013-09-21|0|0|0|1|0
5796|Ephara, God of the Polis|2014-02-01|0|0|0|1|1
5797|Ephemeral Shields|2014-07-12|0|0|0|1|0
5798|Ephemerate|2019-06-05|0|0|0|1|0
5799|Ephemeron|1998-06-15|0|0|0|0|1
5800|Epic Confrontation|2015-03-27|0|1|0|0|0
5801|Epic Downfall|2019-10-04|0|0|1|0|0
5802|Epic Experiment|2012-10-05|1|0|0|0|1
5803|Epic Proportions|2007-10-12|0|1|0|0|0
5804|Epic Struggle|2002-05-27|0|1|0|0|0
5805|Epicenter|2001-10-01|1|0|0|0|0
5806|Epicure of Blood|2018-07-13|0|0|1|0|0
5807|Epiphany Storm|2014-02-01|1|0|0|0|0
5808|Epitaph Golem|2020-07-03|0|0|0|0|0
5809|Epochrasite|2007-05-04|0|0|0|0|0
5810|Equal Treatment|2002-02-04|0|0|0|1|0
5811|Equilibrium|1998-06-15|0|0|0|0|1
5812|Equinox|1994-06-01|0|0|0|1|0
5813|Equipoise|1997-02-03|0|0|0|1|0
5814|Era of Innovation|2016-09-30|0|0|0|0|1
5815|Eradicate|1999-06-07|0|0|1|0|0
5816|Eradicator Valkyrie|2021-02-05|0|0|1|0|0
5817|Erase|1999-02-15|0|0|0|1|0
5818|Erayo, Soratami Ascendant|2005-06-03|0|0|0|0|1
5819|Erayo's Essence|2005-06-03|0|0|0|0|1
5820|Erdwal Ripper|2012-01-28|1|0|0|0|0
5821|Erebos's Emissary|2013-09-21|0|0|1|0|0
5822|Erebos's Intervention|2020-01-24|0|0|1|0|0
5823|Erebos's Titan|2015-07-17|0|0|1|0|0
5824|Erebos, Bleak-Hearted|2020-01-24|0|0|1|0|0
5825|Erebos, God of the Dead|2013-09-21|0|0|1|0|0
5826|Erg Raiders|1993-12-17|0|0|1|0|0
5827|Erhnam Djinn|1993-12-17|0|1|0|0|0
5828|Erithizon|1999-10-04|0|1|0|0|0
5829|Eron the Relentless|1995-10-01|1|0|0|0|0
5830|Erosion|1994-08-01|0|0|0|0|1
5831|Errand of Duty|1996-06-10|0|0|0|1|0
5832|Errant Doomsayers|2006-10-06|0|0|0|1|0
5833|Errant Ephemeron|2006-10-06|0|0|0|0|1
5834|Errant Minion|1995-06-03|0|0|0|0|1
5835|Errantry|1995-06-03|1|0|0|0|0
5836|Erratic Cyclops|2018-11-09|1|0|0|0|0
5837|Erratic Explosion|2002-10-07|1|0|0|0|0
5838|Erratic Mutation|2007-02-02|0|0|0|0|1
5839|Erratic Portal|1998-06-15|0|0|0|0|0
5840|Erratic Visionary|2019-05-03|0|0|0|0|1
5841|Ersatz Gnomes|1996-10-08|0|0|0|0|0
5842|Erstwhile Trooper|2018-11-09|0|1|1|0|0
5843|Ertai's Familiar|1997-06-09|0|0|0|0|1
5844|Ertai's Meddling|1997-10-14|0|0|0|0|1
5845|Ertai's Trickery|2001-02-05|0|0|0|0|1
5846|Ertai, Wizard Adept|1998-06-15|0|0|0|0|1
5847|Ertai, the Corrupted|2001-02-05|0|0|1|1|1
5848|Eruth, Tormented Prophet|2021-11-19|1|0|0|0|1
5849|Escape Artist|2001-10-01|0|0|0|0|1
5850|Escape Protocol|2020-04-24|0|0|0|0|1
5851|Escape Routes|2001-02-05|0|0|0|0|1
5852|Escape Velocity|2020-01-24|1|0|0|0|0
5853|Escape to the Wilds|2019-10-04|1|1|0|0|0
5854|Escaped Null|2010-04-23|0|0|1|0|0
5855|Escaped Shapeshifter|1997-10-14|0|0|0|0|1
5856|Esika's Chariot|2021-02-05|0|1|0|0|0
5857|Esika, God of the Tree|2021-02-05|0|1|0|0|0
5858|The Prismatic Bridge|2021-02-05|1|1|1|1|1
5859|Esior, Wardwing Familiar|2020-11-20|0|0|0|0|1
5860|Esper Battlemage|2008-10-03|0|0|0|0|1
5861|Esper Charm|2008-10-03|0|0|1|1|1
5862|Esper Cormorants|2009-02-06|0|0|0|1|1
5863|Esper Panorama|2008-10-03|0|0|0|0|0
5864|Esper Sentinel|2021-08-26|0|0|0|1|0
5865|Esper Sojourners|2009-04-30|0|0|1|1|1
5866|Esper Stormblade|2009-04-30|0|0|1|1|1
5867|Esperzoa|2009-02-06|0|0|0|0|1
5868|Essence Backlash|2012-10-05|1|0|0|0|1
5869|Essence Bottle|1997-10-14|0|0|0|0|0
5870|Essence Capture|2019-01-25|0|0|0|0|1
5871|Essence Depleter|2016-01-22|0|0|0|0|0
5872|Essence Drain|2004-02-06|0|0|1|0|0
5873|Essence Extraction|2016-09-30|0|0|1|0|0
5874|Essence Feed|2010-04-23|0|0|1|0|0
5875|Essence Filter|1995-06-03|0|1|0|0|0
5876|Essence Flare|1995-06-03|0|0|0|0|1
5877|Essence Flux|2020-06-18|0|0|0|0|1
5878|Essence Fracture|2002-10-07|0|0|0|0|1
5879|Essence Harvest|2012-04-28|0|0|1|0|0
5880|Essence Infusion|2021-04-23|0|0|1|0|0
5881|Essence Leak|2000-10-02|0|0|0|0|1
5882|Essence Scatter|2009-07-16|0|0|0|0|1
5883|Essence Symbiote|2020-04-24|0|1|0|0|0
5884|Essence Vortex|1995-06-03|0|0|1|0|1
5885|Essence Warden|2007-02-02|0|1|0|0|0
5886|Essence of the Wild|2011-09-24|0|1|0|0|0
5887|Estrid's Invocation|2016-11-16|0|0|0|0|1
5888|Estrid, the Masked|2016-11-16|0|1|0|1|1
5889|Estwald Shieldbasher|2021-11-19|0|0|0|1|0
5890|Etali, Primal Storm|2018-01-19|1|0|0|0|0
5891|Etched Champion|2010-09-30|0|0|0|0|0
5892|Etched Monstrosity|2011-05-12|0|0|0|0|0
5893|Etched Oracle|2013-06-07|0|0|0|0|0
5894|Etchings of the Chosen|2019-06-05|0|0|1|1|0
5895|Eternal Dominion|2005-06-03|0|0|0|0|1
5896|Eternal Dragon|2003-05-26|0|0|0|1|0
5897|Eternal Flame|1994-08-01|1|0|0|0|0
5898|Eternal Isolation|2019-07-12|0|0|0|1|0
5899|Eternal Scourge|2016-07-22|0|0|0|0|0
5900|Eternal Skylord|2019-05-03|0|0|0|0|1
5901|Eternal Taskmaster|2019-05-03|0|0|1|0|0
5902|Eternal Thirst|2014-07-12|0|0|1|0|0
5903|Eternal Warrior|1994-06-01|1|0|0|0|0
5904|Eternal Witness|2010-11-08|0|1|0|0|0
5905|Eternal of Harsh Truths|2017-07-14|0|0|0|0|1
5906|Eternity Snare|2006-10-06|0|0|0|0|1
5907|Eternity Vessel|2009-10-02|0|0|0|0|0
5908|Ether Well|1996-10-08|0|0|0|0|1
5909|Ethercaste Knight|2009-04-30|0|0|0|1|1
5910|Ethereal Absolution|2019-01-25|0|0|1|1|0
5911|Ethereal Ambush|2015-01-17|0|1|0|0|1
5912|Ethereal Armor|2012-10-05|0|0|0|1|0
5913|Ethereal Champion|1996-10-08|0|0|0|1|0
5914|Ethereal Elk|2019-07-12|0|1|0|0|0
5915|Ethereal Escort|2021-12-09|0|0|0|1|0
5916|Ethereal Forager|2020-04-17|0|0|0|0|1
5917|Ethereal Grasp|2021-08-26|0|0|0|0|1
5918|Ethereal Haze|2004-10-01|0|0|0|1|0
5919|Ethereal Usher|2005-10-07|0|0|0|0|1
5920|Ethereal Whiskergill|2007-10-12|0|0|0|0|1
5921|Etherium Abomination|2009-04-30|0|0|1|0|1
5922|Etherium Astrolabe|2008-10-03|0|0|0|0|1
5923|Etherium Sculptor|2008-10-03|0|0|0|0|1
5924|Etherium Spinner|2021-08-26|0|0|0|0|1
5925|Etherium-Horn Sorcerer|2012-06-01|1|0|0|0|1
5926|Ethersworn Adjudicator|2009-02-06|0|0|0|0|1
5927|Ethersworn Canonist|2008-10-03|0|0|0|1|0
5928|Ethersworn Shieldmage|2009-04-30|0|0|0|1|1
5929|Etherwrought Page|2009-04-30|0|0|1|1|1
5930|Etrata, the Silencer|2018-11-02|0|0|1|0|1
5931|Eunuchs' Intrigues|1999-07-06|1|0|0|0|0
5932|Eureka|1994-06-01|0|1|0|0|0
5933|Eureka Moment|2021-04-23|0|1|0|0|1
5934|Eutropia the Twice-Favored|2020-01-24|0|1|0|0|1
5935|Evacuation|1998-03-02|0|0|0|0|1
5936|Evanescent Intellect|2014-02-01|0|0|0|0|1
5937|Evangel of Heliod|2013-09-21|0|0|0|1|0
5938|Evangelize|2006-10-06|0|0|0|1|0
5939|Evaporate|1995-10-01|1|0|0|0|0
5940|Evasive Action|2001-06-04|0|0|0|0|1
5941|Even the Odds|2007-05-04|0|0|0|1|0
5942|Ever After|2020-04-17|0|0|1|0|0
5943|Ever-Watching Threshold|2016-11-16|0|0|0|0|1
5944|Everbark Shaman|2008-02-01|0|1|0|0|0
5945|Everdawn Champion|2018-01-19|0|0|0|1|0
5946|Everdream|2019-06-05|0|0|0|0|1
5947|Everflame Eidolon|2014-02-01|1|0|0|0|0
5948|Everflowing Chalice|2010-02-05|0|0|0|0|0
5949|Everglades|1997-02-03|0|0|0|0|0
5950|Everglove Courier|2002-10-07|0|1|0|0|0
5951|Everlasting Torment|2008-05-02|1|0|1|0|0
5952|Evermind|2005-06-03|0|0|0|0|1
5953|Evernight Shade|2012-04-28|0|0|1|0|0
5954|Everquill Phoenix|2020-04-24|1|0|0|0|0
5955|Evershrike|2008-07-25|0|0|1|1|0
5956|Evil Eye of Orms-by-Gore|1994-06-01|0|0|1|0|0
5957|Evil Eye of Urborg|2006-10-06|0|0|1|0|0
5958|Evil Presence|1993-08-05|0|0|1|0|0
5959|Evil Presents|2006-12-31|0|0|1|0|0
5960|Evil Twin|2011-09-24|0|0|1|0|1
5961|Evincar's Justice|1997-10-14|0|0|1|0|0
5962|Eviscerate|2018-04-27|0|0|1|0|0
5963|Eviscerator|1999-02-15|0|0|1|0|0
5964|Evolution Charm|2007-02-02|0|1|0|0|0
5965|Evolution Sage|2019-05-03|0|1|0|0|0
5966|Evolution Vat|2006-05-05|0|0|0|0|0
5967|Evolutionary Escalation|2016-11-11|0|1|0|0|0
5968|Evolutionary Leap|2015-07-17|0|1|0|0|0
5969|Evolving Wilds|2010-04-23|0|0|0|0|0
5970|Evra, Halcyon Witness|2018-04-27|0|0|0|1|0
5971|Exalted Angel|2002-10-07|0|0|0|1|0
5972|Exalted Dragon|1998-06-15|0|0|0|1|0
5973|Exava, Rakdos Blood Witch|2013-04-27|1|0|1|0|0
5974|Excavated Wall|2021-04-23|0|0|0|0|0
5975|Excavating Anurid|2019-06-05|0|1|0|0|0
5976|Excavation|2000-06-05|0|0|0|0|1
5977|Excavation Elephant|2018-04-27|0|0|0|1|0
5978|Excavation Mole|2020-04-24|0|1|0|0|0
5979|Excavator|1997-10-14|0|0|0|0|0
5980|Excise|2000-06-05|0|0|0|1|0
5981|Exclude|2000-10-02|0|0|0|0|1
5982|Exclusion Mage|2018-07-13|0|0|0|0|1
5983|Exclusion Ritual|2011-05-12|0|0|0|1|0
5984|Excommunicate|2008-10-03|0|0|0|1|0
5985|Excoriate|2014-02-01|0|0|0|1|0
5986|Excruciator|2005-10-07|1|0|0|0|0
5987|Execute|2001-10-01|0|0|1|0|0
5988|Executioner's Capsule|2008-10-03|0|0|1|0|0
5989|Executioner's Hood|2012-01-28|0|0|0|0|0
5990|Executioner's Swing|2013-01-26|0|0|1|1|0
5991|Exemplar of Strength|2017-04-28|0|1|0|0|0
5992|Exert Influence|2015-10-02|0|0|0|0|1
5993|Exhaustion|1998-06-24|0|0|0|0|1
5994|Exhilarating Elocution|2021-04-23|0|0|1|1|0
5995|Exhume|1998-10-12|0|0|1|0|0
5996|Exhumer Thrull|2006-02-03|0|0|1|0|0
5997|Exile|1996-06-10|0|0|0|1|0
5998|Exile into Darkness|2005-06-03|0|0|1|0|0
5999|Exiled Boggart|2007-10-12|0|0|1|0|0
6000|Exiled Doomsayer|2003-05-26|0|0|0|1|0
6001|Exorcist|1994-08-01|0|0|0|1|0
6002|Exoskeletal Armor|2002-05-27|0|1|0|0|0
6003|Exotic Curse|2000-10-02|0|0|1|0|0
6004|Exotic Disease|2001-02-05|0|0|1|0|0
6005|Exotic Orchard|2009-02-06|0|0|0|0|0
6006|Expanded Anatomy|2021-04-23|0|0|0|0|0
6007|Expansion|2018-11-09|1|0|0|0|1
6008|Explosion|2018-11-09|1|0|0|0|1
6009|Expedite|2016-01-22|1|0|0|0|0
6010|Expedition Champion|2020-09-25|1|0|0|0|0
6011|Expedition Diviner|2020-09-25|0|0|0|0|1
6012|Expedition Envoy|2015-10-02|0|0|0|1|0
6013|Expedition Healer|2020-09-25|0|0|0|1|0
6014|Expedition Map|2009-10-02|0|0|0|0|0
6015|Expedition Raptor|2016-01-22|0|0|0|1|0
6016|Expedition Skulker|2020-09-25|0|0|1|0|0
6017|Expedition Supplier|2021-12-09|0|0|0|1|0
6018|Expel|2021-04-23|0|0|0|1|0
6019|Expel from Orazca|2018-01-19|0|0|0|0|1
6020|Expendable Troops|1999-02-15|0|0|0|1|0
6021|Experiment Kraj|2006-05-05|0|1|0|0|1
6022|Experiment One|2013-01-26|0|1|0|0|0
6023|Experimental Aviator|2016-09-30|0|0|0|0|1
6024|Experimental Frenzy|2018-11-09|1|0|0|0|0
6025|Experimental Overload|2020-07-03|1|0|0|0|1
6026|Exploding Borders|2009-02-06|1|1|0|0|0
6027|Exploration|1998-10-12|0|1|0|0|0
6028|Explore|2010-02-05|0|1|0|0|0
6029|Explorer's Scope|2009-10-02|0|0|0|0|0
6030|Explosion of Riches|2020-11-20|1|0|0|0|0
6031|Explosive Apparatus|2018-07-13|0|0|0|0|0
6032|Explosive Growth|2000-10-02|0|1|0|0|0
6033|Explosive Impact|2012-10-05|1|0|0|0|0
6034|Explosive Revelation|2010-04-23|1|0|0|0|0
6035|Explosive Vegetation|2002-10-07|0|1|0|0|0
6036|Explosive Welcome|2021-04-23|1|0|0|0|0
6037|Exponential Growth|2021-04-23|0|1|0|0|0
6038|Expose Evil|2019-11-07|0|0|0|1|0
6039|Expose to Daylight|2019-01-25|0|0|0|1|0
6040|Expressive Iteration|2021-04-23|1|0|0|0|1
6041|Expropriate|2016-08-26|0|0|0|0|1
6042|Expunge|1998-10-12|0|0|1|0|0
6043|Exquisite Archangel|2017-01-20|0|0|0|1|0
6044|Exquisite Blood|2012-04-28|0|0|1|0|0
6045|Exquisite Firecraft|2015-07-17|1|0|0|0|0
6046|Exquisite Huntmaster|2020-11-20|0|0|1|0|0
6047|Exsanguinate|2010-09-30|0|0|1|0|0
6048|Extinction|1997-10-14|0|0|1|0|0
6049|Extinction Event|2020-04-24|0|0|1|0|0
6050|Extinguish|1998-06-24|0|0|0|0|1
6051|Extinguish All Hope|2014-04-26|0|0|1|0|0
6052|Extirpate|2007-02-02|0|0|1|0|0
6053|Extortion|1999-10-04|0|0|1|0|0
6054|Extra Arms|2003-05-26|1|0|0|0|0
6055|Extract|2001-10-01|0|0|0|0|1
6056|Extract Brain|2021-07-23|0|0|1|0|1
6057|Extract from Darkness|2014-06-06|0|0|1|0|1
6058|Extractor Demon|2009-02-06|0|0|1|0|0
6059|Extraplanar Lens|2003-10-02|0|0|0|0|0
6060|Extravagant Spirit|1999-10-04|0|0|0|0|1
6061|Extricator of Sin|2016-07-22|0|0|0|1|0
6062|Extricator of Flesh|2016-07-22|0|0|0|0|0
6063|Extruder|1999-06-07|0|0|0|0|0
6064|Extus, Oriq Overlord|2021-04-23|0|0|1|1|0
6065|Awaken the Blood Avatar|2021-04-23|1|0|1|0|0
6066|Exuberant Firestoker|2008-10-03|1|0|0|0|0
6067|Exuberant Wolfbear|2020-04-24|0|1|0|0|0
