|name|printed|r|g|b|w|u|text
3876|Cry of Contrition|2006-02-03|0|0|1|0|0|"Target player discards a card.
Haunt (When this spell card is put into a graveyard after resolving, exile it haunting target creature.)
When the creature Cry of Contrition haunts dies, target player discards a card."
3877|Cry of the Carnarium|2019-01-25|0|0|1|0|0|All creatures get -2/-2 until end of turn. Exile all creature cards in all graveyards that were put there from the battlefield this turn. If a creature would die this turn, exile it instead.
3878|Cryoclasm|2006-07-21|1|0|0|0|0|Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.
3879|Crypsis|2014-02-01|0|0|0|0|1|Target creature you control gains protection from creatures your opponents control until end of turn. Untap it.
3880|Crypt Angel|2000-10-02|0|0|1|0|0|"Flying, protection from white
When Crypt Angel enters the battlefield, return target blue or red creature card from your graveyard to your hand."
3881|Crypt Champion|2006-05-05|0|0|1|0|0|"Double strike
When Crypt Champion enters the battlefield, each player puts a creature card with mana value 3 or less from their graveyard onto the battlefield.
When Crypt Champion enters the battlefield, sacrifice it unless {R} was spent to cast it."
3882|Crypt Cobra|1996-10-08|0|0|1|0|0|Whenever Crypt Cobra attacks and isn't blocked, defending player gets a poison counter. (A player with ten or more poison counters loses the game.)
3883|Crypt Creeper|2001-10-01|0|0|1|0|0|Sacrifice Crypt Creeper: Exile target card from a graveyard.
3884|Crypt Ghast|2013-01-26|0|0|1|0|0|"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
Whenever you tap a Swamp for mana, add an additional {B}."
3885|Crypt Incursion|2013-04-27|0|0|1|0|0|Exile all creature cards from target player's graveyard. You gain 3 life for each card exiled this way.
3886|Crypt Lurker|2020-07-03|0|0|1|0|0|When Crypt Lurker enters the battlefield, you may sacrifice a creature or discard a creature card. If you do, draw a card.
3887|Crypt Rats|1997-02-03|0|0|1|0|0|{X}: Crypt Rats deals X damage to each creature and each player. Spend only black mana on X.
3888|Crypt Ripper|2009-10-02|0|0|1|0|0|"Haste
{B}: Crypt Ripper gets +1/+1 until end of turn."
3889|Crypt of Agadeem|2009-10-02|0|0|0|0|0|"Crypt of Agadeem enters the battlefield tapped.
{T}: Add {B}.
{2}, {T}: Add {B} for each black creature card in your graveyard."
3890|Crypt of the Eternals|2017-07-14|0|0|0|0|0|"When Crypt of the Eternals enters the battlefield, you gain 1 life.
{T}: Add {C}.
{1}, {T}: Add {U}, {B}, or {R}."
3891|Cryptborn Horror|2012-10-05|1|0|1|0|0|"Trample
Cryptborn Horror enters the battlefield with X +1/+1 counters on it, where X is the total life lost by your opponents this turn."
3892|Cryptbreaker|2016-07-22|0|0|1|0|0|"{1}{B}, {T}, Discard a card: Create a 2/2 black Zombie creature token.
Tap three untapped Zombies you control: You draw a card and you lose 1 life."
3893|Cryptic Annelid|2007-05-04|0|0|0|0|1|When Cryptic Annelid enters the battlefield, scry 1, then scry 2, then scry 3. (To scry X, look at the top X cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
3894|Cryptic Caves|2019-07-12|0|0|0|0|0|"{T}: Add {C}.
{1}, {T}, Sacrifice Cryptic Caves: Draw a card. Activate only if you control five or more lands."
3895|Cryptic Command|2007-10-12|0|0|0|0|1|"Choose two —
• Counter target spell.
• Return target permanent to its owner's hand.
• Tap all creatures your opponents control.
• Draw a card."
3896|Cryptic Cruiser|2015-10-02|0|0|0|0|0|"Devoid (This card has no color.)
{2}{U}, Put a card an opponent owns from exile into that player's graveyard: Tap target creature."
3897|Cryptic Gateway|2002-10-07|0|0|0|0|0|Tap two untapped creatures you control: You may put a creature card from your hand that shares a creature type with each creature tapped this way onto the battlefield.
3898|Cryptic Serpent|2017-04-28|0|0|0|0|1|This spell costs {1} less to cast for each instant and sorcery card in your graveyard.
3899|Cryptic Trilobite|2020-04-17|0|0|0|0|0|"Cryptic Trilobite enters the battlefield with X +1/+1 counters on it.
Remove a +1/+1 counter from Cryptic Trilobite: Add {C}{C}. Spend this mana only to activate abilities.
{1}, {T}: Put a +1/+1 counter on Cryptic Trilobite."
3900|Cryptolith Fragment|2016-07-22|0|0|0|0|0|"Cryptolith Fragment enters the battlefield tapped.
{T}: Add one mana of any color. Each player loses 1 life.
At the beginning of your upkeep, if each player has 10 or less life, transform Cryptolith Fragment."
3901|Aurora of Emrakul|2016-07-22|0|0|0|0|0|"Flying, deathtouch
Whenever Aurora of Emrakul attacks, each opponent loses 3 life."
3902|Cryptoplasm|2011-02-03|0|0|0|0|1|At the beginning of your upkeep, you may have Cryptoplasm become a copy of another target creature, except it has this ability.
3903|Cryptwailing|2006-02-03|0|0|1|0|0|{1}, Exile two creature cards from your graveyard: Target player discards a card. Activate only as a sorcery.
3904|Crystacean|2020-04-24|0|0|0|0|1|Flash
3905|Crystal Ball|2010-07-15|0|0|0|0|0|{1}, {T}: Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)
3906|Crystal Chimes|1998-10-12|0|0|0|0|0|{3}, {T}, Sacrifice Crystal Chimes: Return all enchantment cards from your graveyard to your hand.
3907|Crystal Golem|1996-10-08|0|0|0|0|0|At the beginning of your end step, Crystal Golem phases out. (While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)
3908|Crystal Quarry|2001-10-01|0|0|0|0|0|"{T}: Add {C}.
{5}, {T}: Add {W}{U}{B}{R}{G}."
3909|Crystal Rod|1993-08-05|0|0|0|0|0|Whenever a player casts a blue spell, you may pay {1}. If you do, you gain 1 life.
3910|Crystal Seer|2006-02-03|0|0|0|0|1|"When Crystal Seer enters the battlefield, look at the top four cards of your library, then put them back in any order.
{4}{U}: Return Crystal Seer to its owner's hand."
3911|Crystal Shard|2003-10-02|0|0|0|0|0|{3}, {T} or {U}, {T}: Return target creature to its owner's hand unless its controller pays {1}.
3912|Crystal Slipper|2019-10-04|1|0|0|0|0|"Equipped creature gets +1/+0 and has haste.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
3913|Crystal Spray|2000-10-02|0|0|0|0|1|"Change the text of target spell or permanent by replacing all instances of one color word with another or one basic land type with another until end of turn.
Draw a card."
3914|Crystal Vein|1996-10-08|0|0|0|0|0|"{T}: Add {C}.
{T}, Sacrifice Crystal Vein: Add {C}{C}."
3915|Crystalline Crawler|2016-11-11|0|0|0|0|0|"Converge — Crystalline Crawler enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it.
Remove a +1/+1 counter from Crystalline Crawler: Add one mana of any color.
{T}: Put a +1/+1 counter on Crystalline Crawler."
3916|Crystalline Giant|2020-04-24|0|0|0|0|0|At the beginning of combat on your turn, choose a kind of counter at random that Crystalline Giant doesn't have on it from among flying, first strike, deathtouch, hexproof, lifelink, menace, reach, trample, vigilance, and +1/+1. Put a counter of that kind on Crystalline Giant.
3917|Crystalline Nautilus|2014-04-26|0|0|0|0|1|"Bestow {3}{U}{U} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)
When Crystalline Nautilus becomes the target of a spell or ability, sacrifice it.
Enchanted creature gets +4/+4 and has ""When this creature becomes the target of a spell or ability, sacrifice it."""
3918|Crystalline Resonance|2020-04-17|0|0|0|0|1|Whenever you cycle a card, you may have Crystalline Resonance become a copy of another target permanent until your next turn, except it has this ability.
3919|Crystalline Sliver|1998-03-02|0|0|0|1|1|All Slivers have shroud. (They can't be the targets of spells or abilities.)
3920|Crystallization|2009-04-30|0|1|0|1|1|"Enchant creature
Enchanted creature can't attack or block.
When enchanted creature becomes the target of a spell or ability, exile that creature."
3921|Cubwarden|2020-04-24|0|0|0|1|0|"Mutate {2}{W}{W} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Lifelink
Whenever this creature mutates, create two 1/1 white Cat creature tokens with lifelink."
3922|Cudgel Troll|2009-07-16|0|1|0|0|0|{G}: Regenerate Cudgel Troll. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)
3923|Culling Dais|2010-09-30|0|0|0|0|0|"{T}, Sacrifice a creature: Put a charge counter on Culling Dais.
{1}, Sacrifice Culling Dais: Draw a card for each charge counter on Culling Dais."
3924|Culling Drone|2015-10-02|0|0|0|0|0|"Devoid (This card has no color.)
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)"
3925|Culling Mark|2014-02-01|0|1|0|0|0|Target creature blocks this turn if able.
3926|Culling Ritual|2021-04-23|0|1|1|0|0|Destroy each nonland permanent with mana value 2 or less. Add {B} or {G} for each permanent destroyed this way.
3927|Culling Scales|2003-10-02|0|0|0|0|0|At the beginning of your upkeep, destroy target nonland permanent with the lowest mana value. (If two or more permanents are tied for lowest, target any one of them.)
3928|Culling Sun|2006-02-03|0|0|1|1|0|Destroy each creature with mana value 3 or less.
3929|Culling the Weak|1998-06-15|0|0|1|0|0|"As an additional cost to cast this spell, sacrifice a creature.
Add {B}{B}{B}{B}."
3930|Culmination of Studies|2021-04-23|1|0|0|0|1|Exile the top X cards of your library. For each land card exiled this way, create a Treasure token. For each blue card exiled this way, draw a card. For each red card exiled this way, Culmination of Studies deals 1 damage to each opponent.
3931|Cult Guildmage|2019-01-25|1|0|1|0|0|"{3}{B}, {T}: Target player discards a card. Activate only as a sorcery.
{R}, {T}: Cult Guildmage deals 1 damage to target opponent or planeswalker."
3932|Cultbrand Cinder|2008-05-02|1|0|1|0|0|When Cultbrand Cinder enters the battlefield, put a -1/-1 counter on target creature.
3933|Cultist's Staff|2016-07-22|0|0|0|0|0|"Equipped creature gets +2/+2.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
3934|Cultivate|2010-07-15|0|1|0|0|0|Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.
3935|Cultivator Colossus|2021-11-19|0|1|0|0|0|"Trample
Cultivator Colossus's power and toughness are each equal to the number of lands you control.
When Cultivator Colossus enters the battlefield, you may put a land card from your hand onto the battlefield tapped. If you do, draw a card and repeat this process."
3936|Cultivator Drone|2016-01-22|0|0|0|0|0|"Devoid (This card has no color.)
{T}: Add {C}. Spend this mana only to cast a colorless spell, activate an ability of a colorless permanent, or pay a cost that contains {C}. ({C} represents colorless mana.)"
3937|Cultivator of Blades|2016-09-30|0|1|0|0|0|"Fabricate 2 (When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.)
Whenever Cultivator of Blades attacks, you may have other attacking creatures get +X/+X until end of turn, where X is Cultivator of Blades's power."
3938|Cultivator's Caravan|2016-09-30|0|0|0|0|0|"{T}: Add one mana of any color.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)"
3939|Cultural Exchange|2001-10-01|0|0|0|0|1|Choose any number of creatures target player controls. Choose the same number of creatures another target player controls. Those players exchange control of those creatures. (This effect lasts indefinitely.)
3940|Cumber Stone|2009-02-06|0|0|0|0|1|Creatures your opponents control get -1/-0.
3941|Cunning|1998-06-15|0|0|0|0|1|"Enchant creature
Enchanted creature gets +3/+3.
When enchanted creature attacks or blocks, sacrifice Cunning at the beginning of the next cleanup step."
3942|Cunning Advisor|1999-07-06|0|0|1|0|0|{T}: Target opponent discards a card. Activate only during your turn, before attackers are declared.
3943|Cunning Bandit|2005-02-04|1|0|0|0|0|"Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Cunning Bandit.
At the beginning of the end step, if there are two or more ki counters on Cunning Bandit, you may flip it."
3944|Azamuki, Treachery Incarnate|2005-02-04|1|0|0|0|0|Remove a ki counter from Azamuki, Treachery Incarnate: Gain control of target creature until end of turn.
3945|Cunning Breezedancer|2015-03-27|0|0|0|1|1|"Flying
Whenever you cast a noncreature spell, Cunning Breezedancer gets +2/+2 until end of turn."
3946|Cunning Evasion|2019-06-05|0|0|0|0|1|Whenever a creature you control becomes blocked, you may return it to its owner's hand.
3947|Cunning Geysermage|2020-09-25|0|0|0|0|1|"Kicker {2}{U} (You may pay an additional {2}{U} as you cast this spell.)
When Cunning Geysermage enters the battlefield, if it was kicked, return up to one other target creature to its owner's hand."
3948|Cunning Giant|1998-06-24|1|0|0|0|0|If Cunning Giant is unblocked, you may have it assign its combat damage to a creature defending player controls.
3949|Cunning Lethemancer|2008-10-03|0|0|1|0|0|At the beginning of your upkeep, each player discards a card.
3950|Cunning Nightbonder|2020-04-24|0|0|1|0|1|"Flash
Spells with flash you cast cost {1} less to cast and can't be countered."
3951|Cunning Sparkmage|2010-02-05|1|0|0|0|0|"Haste
{T}: Cunning Sparkmage deals 1 damage to any target."
3952|Cunning Strike|2015-01-17|1|0|0|0|1|"Cunning Strike deals 2 damage to target creature and 2 damage to target player or planeswalker.
Draw a card."
3953|Cunning Survivor|2017-07-14|0|0|0|0|1|Whenever you cycle or discard a card, Cunning Survivor gets +1/+0 until end of turn and can't be blocked this turn.
3954|Cunning Wish|2002-05-27|0|0|0|0|1|You may reveal an instant card you own from outside the game and put it into your hand. Exile Cunning Wish.
3955|Cuombajj Witches|1993-12-17|0|0|1|0|0|{T}: Cuombajj Witches deals 1 damage to any target and 1 damage to any target of an opponent's choice.
3956|Curate|2021-04-23|0|0|0|0|1|"Look at the top two cards of your library. Put any number of them into your graveyard and the rest back on top of your library in any order.
Draw a card."
3957|Curator of Mysteries|2017-04-28|0|0|0|0|1|"Flying
Whenever you cycle or discard another card, scry 1.
Cycling {U} ({U}, Discard this card: Draw a card.)"
3958|Curator's Ward|2018-04-27|0|0|0|0|1|"Enchant permanent
Enchanted permanent has hexproof.
When enchanted permanent leaves the battlefield, if it was historic, draw two cards. (Artifacts, legendaries, and Sagas are historic.)"
3959|Curfew|1998-10-12|0|0|0|0|1|Each player returns a creature they control to its owner's hand.
3960|Curio Vendor|2016-09-30|0|0|0|0|1|
3961|Curiosity|1998-06-15|0|0|0|0|1|"Enchant creature
Whenever enchanted creature deals damage to an opponent, you may draw a card."
3962|Curious Herd|2020-04-17|0|1|0|0|0|Choose target opponent. You create X 3/3 green Beast creature tokens, where X is the number of artifacts that player controls.
3963|Curious Homunculus|2016-07-22|0|0|0|0|1|"{T}: Add {C}. Spend this mana only to cast an instant or sorcery spell.
At the beginning of your upkeep, if there are three or more instant and/or sorcery cards in your graveyard, transform Curious Homunculus."
3964|Voracious Reader|2016-07-22|0|0|0|0|0|"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Instant and sorcery spells you cast cost {1} less to cast."
3965|Curious Obsession|2018-01-19|0|0|0|0|1|"Enchant creature
Enchanted creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, you may draw a card.""
At the beginning of your end step, if you didn't attack with a creature this turn, sacrifice Curious Obsession."
3966|Curious Pair|2019-10-04|0|1|0|0|0|
3967|Treats to Share|2019-10-04|0|1|0|0|0|"Create a Food token. (Then exile this card. You may cast the creature later from exile. A Food token is an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
3968|Curse Artifact|1994-08-01|0|0|1|0|0|"Enchant artifact
At the beginning of the upkeep of enchanted artifact's controller, Curse Artifact deals 2 damage to that player unless they sacrifice that artifact."
3969|Curse of Bloodletting|2012-01-28|1|0|0|0|0|"Enchant player
If a source would deal damage to enchanted player, it deals double that damage to that player instead."
3970|Curse of Bounty|2016-11-16|0|1|0|0|0|"Enchant player
Whenever enchanted player is attacked, untap all nonland permanents you control. Each opponent attacking that player untaps all nonland permanents they control."
3971|Curse of Chains|2008-05-02|0|0|0|1|1|"Enchant creature
At the beginning of each upkeep, tap enchanted creature."
3972|Curse of Chaos|2013-11-01|1|0|0|0|0|"Enchant player
Whenever a player attacks enchanted player with one or more creatures, that attacking player may discard a card. If the player does, they draw a card."
3973|Curse of Clinging Webs|2021-09-24|0|1|0|0|0|"Enchant player
Whenever a nontoken creature enchanted player controls dies, exile it and you create a 1/2 green Spider creature token with reach."
3974|Curse of Conformity|2021-09-24|0|0|0|1|0|"Enchant player
Nonlegendary creatures enchanted player controls have base power and toughness 3/3 and lose all creature types."
3975|Curse of Death's Hold|2011-09-24|0|0|1|0|0|"Enchant player
Creatures enchanted player controls get -1/-1."
3976|Curse of Disturbance|2016-11-16|0|0|1|0|0|"Enchant player
Whenever enchanted player is attacked, create a 2/2 black Zombie creature token. Each opponent attacking that player does the same."
3977|Curse of Echoes|2012-01-28|0|0|0|0|1|"Enchant player
Whenever enchanted player casts an instant or sorcery spell, each other player may copy that spell and may choose new targets for the copy they control."
3978|Curse of Exhaustion|2012-01-28|0|0|0|1|0|"Enchant player
Enchanted player can't cast more than one spell each turn."
3979|Curse of Fool's Wisdom|2019-08-23|0|0|1|0|0|"Enchant player
Whenever enchanted player draws a card, they lose 2 life and you gain 2 life.
Madness {3}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"
3980|Curse of Hospitality|2021-11-19|1|0|0|0|0|"Enchant player
Creatures attacking enchanted player have trample.
Whenever a creature deals combat damage to enchanted player, that player exiles the top card of their library. Until end of turn, that creature's controller may play that card and they may spend mana as though it were mana of any color to cast that spell."
3981|Curse of Inertia|2013-11-01|0|0|0|0|1|"Enchant player
Whenever a player attacks enchanted player with one or more creatures, that attacking player may tap or untap target permanent of their choice."
3982|Curse of Leeches|2022-01-28|0|0|1|0|0|"Enchant player
As this permanent transforms into Curse of Leeches, attach it to a player.
At the beginning of enchanted player's upkeep, they lose 1 life and you gain 1 life.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)"
3983|Leeching Lurker|2022-01-28|0|0|1|0|0|"Lifelink
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
3984|Curse of Marit Lage|1995-06-03|1|0|0|0|0|"When Curse of Marit Lage enters the battlefield, tap all Islands.
Islands don't untap during their controllers' untap steps."
3985|Curse of Misfortunes|2012-01-28|0|0|1|0|0|"Enchant player
At the beginning of your upkeep, you may search your library for a Curse card that doesn't have the same name as a Curse attached to enchanted player, put it onto the battlefield attached to that player, then shuffle."
3986|Curse of Oblivion|2011-09-24|0|0|1|0|0|"Enchant player
At the beginning of enchanted player's upkeep, that player exiles two cards from their graveyard."
3987|Curse of Obsession|2021-09-24|1|0|0|0|0|"Enchant player
At the beginning of enchanted player's draw step, that player draws two additional cards.
At the beginning of enchanted player's end step, that player discards their hand."
3988|Curse of Opulence|2016-11-16|1|0|0|0|0|"Enchant player
Whenever enchanted player is attacked, create a Gold token. Each opponent attacking that player does the same. (A Gold token is an artifact with ""Sacrifice this artifact: Add one mana of any color."")"
3989|Curse of Predation|2013-11-01|0|1|0|0|0|"Enchant player
Whenever a creature attacks enchanted player, put a +1/+1 counter on it."
3990|Curse of Shaken Faith|2022-01-28|1|0|0|0|0|"Enchant player
Whenever enchanted player casts a spell other than the first spell they cast each turn or copies a spell, Curse of Shaken Faith deals 2 damage to them."
3991|Curse of Shallow Graves|2013-11-01|0|0|1|0|0|"Enchant player
Whenever a player attacks enchanted player with one or more creatures, that attacking player may create a tapped 2/2 black Zombie creature token."
3992|Curse of Silence|2022-01-28|0|0|0|1|0|"Enchant player
As Curse of Silence enters the battlefield, choose a card name.
Spells with the chosen name enchanted player casts cost {2} more to cast.
Whenever enchanted player casts a spell with the chosen name, you may sacrifice Curse of Silence. If you do, draw a card."
3993|Curse of Stalked Prey|2011-09-24|1|0|0|0|0|"Enchant player
Whenever a creature deals combat damage to enchanted player, put a +1/+1 counter on that creature."
3994|Curse of Surveillance|2022-01-28|0|0|0|0|1|"Enchant player
At the beginning of enchanted player's upkeep, any number of target players other than that player each draw cards equal to the number of Curses attached to that player."
3995|Curse of Thirst|2012-01-28|0|0|1|0|0|"Enchant player
At the beginning of enchanted player's upkeep, Curse of Thirst deals damage to that player equal to the number of Curses attached to them."
3996|Curse of Unbinding|2021-09-24|0|0|0|0|1|"Enchant player
At the beginning of enchanted player's upkeep, that player reveals cards from the top of their library until they reveal a creature card. Put that card onto the battlefield under your control. That player puts the rest of the revealed cards into their graveyard."
3997|Curse of Vengeance|2016-11-11|0|0|1|0|0|"Enchant player
Whenever enchanted player casts a spell, put a spite counter on Curse of Vengeance.
When enchanted player loses the game, you gain X life and draw X cards, where X is the number of spite counters on Curse of Vengeance."
3998|Curse of Verbosity|2016-11-16|0|0|0|0|1|"Enchant player
Whenever enchanted player is attacked, you draw a card. Each opponent attacking that player does the same."
3999|Curse of Vitality|2016-11-16|0|0|0|1|0|"Enchant player
Whenever enchanted player is attacked, you gain 2 life. Each opponent attacking that player does the same."
4000|Curse of Wizardry|2010-04-23|0|0|1|0|0|"As Curse of Wizardry enters the battlefield, choose a color.
Whenever a player casts a spell of the chosen color, that player loses 1 life."
4001|Curse of the Bloody Tome|2011-09-24|0|0|0|0|1|"Enchant player
At the beginning of enchanted player's upkeep, that player mills two cards."
4002|Curse of the Cabal|2006-10-06|0|0|1|0|0|"Target player sacrifices half the permanents they control, rounded down.
Suspend 2—{2}{B}{B} (Rather than cast this card from your hand, you may pay {2}{B}{B} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
At the beginning of each player's upkeep, if Curse of the Cabal is suspended, that player may sacrifice a permanent. If the player does, put two time counters on Curse of the Cabal."
4003|Curse of the Forsaken|2013-11-01|0|0|0|1|0|"Enchant player
Whenever a creature attacks enchanted player, its controller gains 1 life."
4004|Curse of the Nightly Hunt|2011-09-24|1|0|0|0|0|"Enchant player
Creatures enchanted player controls attack each combat if able."
4005|Curse of the Pierced Heart|2011-09-24|1|0|0|0|0|"Enchant player
At the beginning of enchanted player's upkeep, Curse of the Pierced Heart deals 1 damage to that player or a planeswalker that player controls."
4006|Curse of the Restless Dead|2021-09-24|0|0|1|0|0|"Enchant player
Whenever a land enters the battlefield under enchanted player's control, you create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)"
4007|Curse of the Swine|2013-09-21|0|0|0|0|1|Exile X target creatures. For each creature exiled this way, its controller creates a 2/2 green Boar creature token.
4008|Cursebound Witch|2021-12-09|0|0|1|0|0|When Cursebound Witch dies, draft a card from Cursebound Witch's spellbook.
4009|Cursebreak|2012-04-28|0|0|0|1|0|Destroy target enchantment. You gain 2 life.
4010|Cursecatcher|2008-05-02|0|0|0|0|1|Sacrifice Cursecatcher: Counter target instant or sorcery spell unless its controller pays {1}.
4011|Cursed Flesh|1998-06-15|0|0|1|0|0|"Enchant creature
Enchanted creature gets -1/-1 and has fear. (It can't be blocked except by artifact creatures and/or black creatures.)"
4012|Cursed Land|1993-08-05|0|0|1|0|0|"Enchant land
At the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player."
4013|Cursed Minotaur|2017-04-28|0|0|1|0|0|Menace (This creature can't be blocked except by two or more creatures.)
4014|Cursed Monstrosity|2001-10-01|0|0|1|0|0|"Flying
Whenever Cursed Monstrosity becomes the target of a spell or ability, sacrifice it unless you discard a land card."
4015|Cursed Rack|1994-03-04|0|0|0|0|0|"As Cursed Rack enters the battlefield, choose an opponent.
The chosen player's maximum hand size is four."
4016|Cursed Ronin|2004-10-01|0|0|1|0|0|"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)
{B}: Cursed Ronin gets +1/+1 until end of turn."
4017|Cursed Scroll|1997-10-14|0|0|0|0|0|{3}, {T}: Choose a card name, then reveal a card at random from your hand. If that card has the chosen name, Cursed Scroll deals 2 damage to any target.
4018|Cursed Totem|1996-10-08|0|0|0|0|0|Activated abilities of creatures can't be activated.
4019|Curtain of Light|2005-06-03|0|0|0|1|0|"Cast this spell only during combat after blockers are declared.
Target unblocked attacking creature becomes blocked. (This spell works on creatures that can't be blocked.)
Draw a card."
4020|Curtains' Call|2016-11-11|0|0|1|0|0|"Undaunted (This spell costs {1} less to cast for each opponent.)
Destroy two target creatures."
4021|Custodi Lich|2016-08-26|0|0|1|0|0|"When Custodi Lich enters the battlefield, you become the monarch.
Whenever you become the monarch, target player sacrifices a creature."
4022|Custodi Peacekeeper|2016-08-26|0|0|0|1|0|"Reveal Custodi Peacekeeper as you draft it and note how many cards you've drafted this draft round, including Custodi Peacekeeper.
{W}, {T}: Tap target creature with power less than or equal to the highest number you noted for cards named Custodi Peacekeeper."
4023|Custodi Soulbinders|2014-06-06|0|0|0|1|0|"Custodi Soulbinders enters the battlefield with X +1/+1 counters on it, where X is the number of other creatures on the battlefield.
{2}{W}, Remove a +1/+1 counter from Custodi Soulbinders: Create a 1/1 white Spirit creature token with flying."
4024|Custodi Soulcaller|2016-08-26|0|0|0|1|0|"Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)
Whenever Custodi Soulcaller attacks, return target creature card with mana value X or less from your graveyard to the battlefield, where X is the number of players you attacked this combat."
4025|Custodi Squire|2014-06-06|0|0|0|1|0|"Flying
Will of the council — When Custodi Squire enters the battlefield, starting with you, each player votes for an artifact, creature, or enchantment card in your graveyard. Return each card with the most votes or tied for most votes to your hand."
4026|Custodian of the Trove|2015-03-27|0|0|0|0|0|"Defender
Custodian of the Trove enters the battlefield tapped."
4027|Custody Battle|2002-10-07|1|0|0|0|0|"Enchant creature
Enchanted creature has ""At the beginning of your upkeep, target opponent gains control of this creature unless you sacrifice a land."""
4028|Customs Depot|1999-10-04|0|0|0|0|1|Whenever you cast a creature spell, you may pay {1}. If you do, draw a card, then discard a card.
4029|Cut|2017-04-28|1|0|0|0|0|Cut deals 4 damage to target creature.
4030|Ribbons|2017-04-28|0|0|1|0|0|"Aftermath (Cast this spell only from your graveyard. Then exile it.)
Each opponent loses X life."
4031|Cut the Earthly Bond|2005-06-03|0|0|0|0|1|Return target enchanted permanent to its owner's hand.
4032|Cut the Tethers|2004-10-01|0|0|0|0|1|For each Spirit, return it to its owner's hand unless that player pays {3}.
4033|Cutthroat Maneuver|2013-09-21|0|0|1|0|0|Up to two target creatures each get +1/+1 and gain lifelink until end of turn.
4034|Cutthroat il-Dal|2007-05-04|0|0|1|0|0|Hellbent — Cutthroat il-Dal has shadow as long as you have no cards in hand. (It can block or be blocked by only creatures with shadow.)
4035|Cycle of Life|1996-10-08|0|1|0|0|0|Return Cycle of Life to its owner's hand: Target creature you cast this turn has base power and toughness 0/1 until your next upkeep. At the beginning of your next upkeep, put a +1/+1 counter on that creature.
4036|Cyclical Evolution|2007-05-04|0|1|0|0|0|"Target creature gets +3/+3 until end of turn. Exile Cyclical Evolution with three time counters on it.
Suspend 3—{2}{G} (Rather than cast this card from your hand, you may pay {2}{G} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
4037|Cyclone|1993-12-17|0|1|0|0|0|At the beginning of your upkeep, put a wind counter on Cyclone, then sacrifice Cyclone unless you pay {G} for each wind counter on it. If you pay, Cyclone deals damage equal to the number of wind counters on it to each creature and each player.
4038|Cyclone Sire|2016-01-22|0|0|0|0|1|"Flying
When Cyclone Sire dies, you may put three +1/+1 counters on target land you control. If you do, that land becomes a 0/0 Elemental creature with haste that's still a land."
4039|Cyclone Summoner|2021-02-05|0|0|0|0|1|When Cyclone Summoner enters the battlefield, if you cast it from your hand, return all permanents to their owners' hands except for Giants, Wizards, and lands.
4040|Cyclonic Rift|2012-10-05|0|0|0|0|1|"Return target nonland permanent you don't control to its owner's hand.
Overload {6}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")"
4041|Cyclopean Giant|2006-10-06|0|0|1|0|0|When Cyclopean Giant dies, target land becomes a Swamp. Exile Cyclopean Giant.
4042|Cyclopean Mummy|1994-06-01|0|0|1|0|0|When Cyclopean Mummy dies, exile it.
4043|Cyclopean Snare|2005-10-07|0|0|0|0|0|{3}, {T}: Tap target creature, then return Cyclopean Snare to its owner's hand.
